source_file,run_name,id,category,prompt_length_words,generation_length_words,length_bucket,feature_clipping_enabled,feature_clip_layer,feature_clip_tokens_collected,perplexity,energy,entropy,lexical_similarity,eigenIndicator,eigenIndicatorOutput
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4202,summarization,150,43,long_100_plus,False,,0,0.11972394907376849,-17.8235292583704,0.12589067813986718,0.26500542616878825,-1.9992352010809538,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4081,summarization,160,52,long_100_plus,False,,0,0.7048491402661481,-13.221095874905586,0.227020846929955,0.1650222929120413,-2.112361226400494,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4070,summarization,274,1,long_100_plus,False,,0,1.1467116676355569,-14.649170637130737,0.42689346096424663,0.1806684117902921,-2.221368867200968,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6547,rationalization_binary,166,51,long_100_plus,False,,0,0.1617713142192344,-14.651143953204155,0.048214953574680496,0.5881923926215796,-2.286689745882468,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_5142,summarization,496,45,long_100_plus,False,,0,1.1781085192935916,-13.53094594180584,0.39474980921638153,0.17393083314310576,-2.230529857798135,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4452,summarization,257,39,long_100_plus,False,,0,0.22204513804764622,-17.02725987136364,0.20608306494299708,0.11707254865555454,-2.0369021936964975,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4036,summarization,282,52,long_100_plus,False,,0,0.11328771632328148,-18.219181522727013,0.2873247990799894,0.1686859456964951,-2.0643689342939324,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_3986,summarization,267,53,long_100_plus,False,,0,0.7092642355057593,-15.01614099740982,0.22521558349964604,0.1742559068353737,-1.8631226157970442,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4418,summarization,241,52,long_100_plus,False,,0,0.23425925433221398,-16.84570474922657,0.1454772328247121,0.37127671426055936,-2.1722569677617813,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4731,summarization,312,51,long_100_plus,False,,0,0.11128784769761978,-17.993693977594376,0.23865725721284745,0.11183956673081524,-1.9929788060847329,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4332,summarization,295,51,long_100_plus,False,,0,0.1756939054840608,-17.207141146063805,0.23398912773949312,0.16821291290964105,-1.9702163445136265,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4390,summarization,181,47,long_100_plus,False,,0,0.1574345829007608,-17.30687442421913,0.08551817332584216,0.261256678023579,-1.9915606426129813,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_5151,summarization,260,42,long_100_plus,False,,0,0.1093726265028244,-17.80430868268013,0.026815361218185944,0.5125732204336727,-2.273547609180869,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4960,summarization,194,50,long_100_plus,False,,0,0.2365871158214076,-17.312629207968712,0.2445028737383724,0.20989297503318613,-2.166346755888254,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4356,summarization,286,51,long_100_plus,False,,0,0.9102965430726296,-14.172270849347115,0.14296992044249462,0.1590851148218087,-1.9415484981767794,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4730,summarization,273,47,long_100_plus,False,,0,0.8448953491849053,-14.592619583010674,0.4258431514554621,0.14402011710200288,-2.0738441617217336,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4365,summarization,293,50,long_100_plus,False,,0,0.21815301775981827,-16.89285373687744,0.3891786918660139,0.2562974699659055,-2.2816867024199503,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6595,rationalization_binary,166,51,long_100_plus,False,,0,0.16198304783206735,-14.683210581541061,0.05246462141423404,0.5749537875872789,-2.2625484198967762,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4487,summarization,237,41,long_100_plus,False,,0,0.40206453529978164,-15.993761196732521,0.2096122737448019,0.17263526287095063,-1.8943670880785768,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4306,summarization,223,1,long_100_plus,False,,0,1.5833543361630344,-13.457968711853027,0.23655850530167405,0.17358800865050109,-2.1195998566704253,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4615,summarization,195,50,long_100_plus,False,,0,0.33151127069399183,-16.893532320857048,0.15568958319422052,0.14621960093955688,-1.9313055183461927,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_3988,summarization,158,40,long_100_plus,False,,0,0.6027708810572135,-15.028374329209328,0.20774421781967645,0.14297702834481826,-2.0302057445000288,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4506,summarization,136,43,long_100_plus,False,,0,0.3372100890623252,-15.802119314670563,0.15610614781279764,0.14644255150698834,-1.9347667616901814,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_4541,summarization,243,53,long_100_plus,False,,0,0.2860350627964019,-16.83797287940979,0.16282687822263703,0.16416910620258013,-1.9398817995365625,
halogen_outputs\experiment_2_opt_prompt_length\long_100_plus_words\0.pkl,long_100_plus_words,halogen_6293,rationalization_binary,166,51,long_100_plus,False,,0,0.16251657766703986,-14.681244522333145,0.050607621210463416,0.7138722719680874,-2.570306210942204,
